accommodates,bedrooms,bathrooms,beds,neighbourhood_cleansed,room_type,property_type,minimum_nights,latitude,longitude,instant_bookable,n_amenities,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,amen_wifi,amen_kitchen,amen_hot_water,amen_hair_dryer,amen_bed_linens,amen_hangers,amen_essentials,amen_cooking_basics,amen_refrigerator,amen_dishes_and_silverware,amen_iron,amen_heating,amen_dedicated_workspace,amen_self_check_in,amen_long_term_stays_allowed,amen_oven,amen_shampoo,amen_dishwasher,amen_hot_water_kettle,amen_room_darkening_shades,amen_tv,amen_dining_table,amen_wine_glasses,amen_washer,amen_elevator,amen_lockbox,amen_microwave,amen_freezer,amen_stove,amen_bathtub,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_total_listings_count,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,text_name_len,text_desc_len,text_luxury,text_view,text_central,text_modern,text_terrace,text_renovated,text_lake,text_river,text_quiet,text_design,text_spacious,text_charming,dist_hallenstadion_km,dist_letzigrund_km,dist_messe_km,dist_opernhaus_km,dist_hb_km,min_dist_venue_km
1,1.0,1.0,1.0,Alt-Wiedikon,Private room,Private room in rental unit,1,47.36691,8.52116,1,22,16,44,72,347,405,74,5,4.38,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,100.0,99.0,1.0,4,4.74,4.83,4.61,4.84,4.89,4.69,4.69,14,222,0,0,0,1,0,0,0,0,0,0,0,0,7.513460415510991,1.9332991822926298,5.2177243269089075,1.9083139297512501,1.8896545434234637,1.8896545434234637
4,2.0,1.0,2.0,Fluntern,Entire home/apt,Entire rental unit,114,47.3757799,8.5609874,0,8,29,59,89,179,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,2,,,,,,,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.27784544817019,4.362310511644449,3.917689308993657,1.5934054222042209,1.5754627311917395,1.5754627311917395
4,2.0,1.5,2.0,Wipkingen,Entire home/apt,Entire rental unit,30,47.39819,8.53221,1,26,0,0,0,272,1,0,0,0.05,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,100.0,99.0,3.0,214,5.0,5.0,5.0,5.0,5.0,5.0,4.0,44,287,0,0,0,0,0,0,0,0,0,0,0,0,3.9467259341511713,3.0169553247737997,1.8016794868554846,3.7993882250974287,2.3369022683695557,1.8016794868554846
5,3.0,1.0,3.0,Seebach,Entire home/apt,Entire rental unit,2,47.42436559999999,8.5357783,1,27,27,57,87,172,8,8,2,1.48,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,97.0,100.0,1.0,109,4.0,3.88,4.25,4.13,3.88,4.25,3.5,41,417,0,0,1,0,0,0,0,0,0,0,0,1,1.315518742266585,5.5654778565977265,1.8660919908844287,6.605242557280609,5.177934806991798,1.315518742266585
3,2.0,1.0,2.0,Alt-Wiedikon,Entire home/apt,Entire rental unit,4,47.367,8.51466,0,14,0,0,6,281,2,1,0,0.1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,50.0,50.0,3.0,1,5.0,4.5,5.0,5.0,4.5,5.0,5.0,23,361,0,0,0,0,0,0,0,0,1,0,1,0,7.6573117608829175,1.6226294924711997,5.421247995180509,2.3970602608683165,2.2796980259478885,1.6226294924711997
2,2.0,1.0,2.0,Fluntern,Entire home/apt,Entire rental unit,7,47.375755,8.5557064,0,23,23,53,83,356,0,0,0,,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,71.0,10.0,3.0,2,,,,,,,,32,220,0,0,0,0,1,0,1,0,1,0,0,1,6.238311494614536,3.9668152688646034,3.845261136729842,1.3479432972600183,1.1843408116368586,1.1843408116368586
2,1.0,1.0,1.0,Langstrasse,Private room,Private room in rental unit,1,47.37819,8.52631,0,39,0,0,0,269,0,0,0,,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,0,60.0,50.0,2.0,1,,,,,,,,26,316,0,0,0,0,0,0,0,0,0,0,0,0,6.200711923489483,1.7377649684239802,3.914885384953802,2.076398495738497,1.053891932640482,1.053891932640482
2,0.0,1.0,1.0,Affoltern,Entire home/apt,Entire serviced apartment,7,47.4188639,8.508064599999999,0,46,27,57,87,87,2,0,0,0.09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,100.0,78.0,3.0,69,5.0,5.0,5.0,3.0,5.0,4.0,5.0,21,248,0,0,1,0,0,0,0,0,0,0,0,0,3.42838283701265,4.402814544506625,3.2053647851047273,6.6082952367483,5.160876332284105,3.2053647851047273
2,1.0,1.0,0.0,Hard,Entire home/apt,Entire rental unit,14,47.37751,8.51351,0,50,27,57,60,60,8,1,0,0.18,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,100.0,100.0,1.0,3,4.88,4.75,4.38,5.0,5.0,5.0,5.0,50,506,0,1,1,1,0,0,0,0,1,0,1,0,6.606419037063094,0.7969795194634336,4.475331555307943,2.819193502714327,2.0176731846072578,0.7969795194634336
2,0.0,1.0,1.0,Oerlikon,Entire home/apt,Entire rental unit,1,47.40802,8.54762,1,21,0,29,59,304,4,0,0,0.05,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,100.0,99.0,1.0,240,4.75,4.25,4.75,4.75,4.75,4.75,4.5,34,490,0,0,0,0,0,0,0,0,0,0,0,0,2.636892216461792,4.610592416898921,0.23218894317011113,4.7400177071181115,3.3942154885094635,0.23218894317011113
5,1.0,1.0,2.0,Hard,Entire home/apt,Entire rental unit,1,47.37843040000001,8.5141005,1,26,17,17,17,17,106,33,0,3.77,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,100.0,100.0,1.0,12,4.84,4.86,4.82,4.91,4.9,4.69,4.6,28,190,0,0,1,0,0,0,0,0,0,0,0,0,6.494842848831625,0.820342473532196,4.366535344974404,2.83117434394064,1.973608409765557,0.820342473532196
4,1.0,1.0,2.0,Seebach,Private room,Private room in rental unit,1,47.4193,8.55648,0,41,8,13,18,18,140,24,4,2.18,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,0,1,100.0,96.0,1.0,5,4.85,4.91,4.93,4.84,4.87,4.85,4.76,47,500,0,1,1,0,0,0,0,0,0,0,1,0,1.475419599609316,5.975393036009465,1.1920356280548405,6.041247688379637,4.761830314928029,1.1920356280548405
2,1.0,1.0,2.0,Witikon,Private room,Private room in rental unit,1,47.35661750000001,8.5986213,1,7,28,58,61,274,1,1,1,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,100.0,99.0,1.0,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,49,451,0,0,0,0,0,0,1,0,1,0,1,0,9.130941203081086,7.612604492423349,7.029767580096584,4.052771121718768,4.9892443833678355,4.052771121718768
3,2.0,1.0,3.0,Weinegg,Entire home/apt,Entire rental unit,2,47.36124,8.56048,1,26,21,51,81,166,39,22,2,1.64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,97.0,100.0,1.0,109,4.54,4.51,4.49,4.54,4.59,4.49,4.36,26,281,0,0,1,0,0,0,1,0,0,0,0,0,7.878264569047493,4.756043637203114,5.4951393890363045,1.1569663018063456,2.3961130574256977,1.1569663018063456
4,2.0,1.0,3.0,Affoltern,Entire home/apt,Entire serviced apartment,7,47.4228744506836,8.514734268188477,0,50,27,57,87,87,6,2,1,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,100.0,78.0,3.0,69,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26,94,0,0,0,0,1,0,0,0,0,0,1,0,2.7933526914855356,4.910142321010578,2.9227199866423366,6.820901245903127,5.358342488084647,2.7933526914855356
6,1.0,1.0,1.0,Mühlebach,Private room,Private room in rental unit,1,47.35932697623891,8.556046247766991,0,21,30,60,90,365,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,99.0,54.0,2.0,7,,,,,,,,31,505,0,0,1,0,0,0,1,0,1,0,0,0,8.062584292914982,4.556400067514151,5.66240290546325,0.9919089909263221,2.3814698105970264,0.9919089909263221
4,1.0,1.0,1.0,Sihlfeld,Entire home/apt,Entire rental unit,2,47.37236,8.519851,1,26,0,0,0,45,87,9,0,2.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,100.0,95.0,1.0,252,4.77,4.91,4.72,4.85,4.86,4.7,4.59,49,480,0,0,1,1,0,0,0,0,0,0,0,0,6.965416480136434,1.47174014453697,4.711790702975519,2.1439514187485775,1.6584746490530575,1.47174014453697
2,1.0,1.0,2.0,Höngg,Entire home/apt,Entire rental unit,2,47.39742,8.50615,0,13,7,7,14,51,11,11,4,1.94,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,100.0,67.0,1.0,2,4.91,4.82,4.91,5.0,5.0,4.91,4.82,15,343,0,0,0,0,0,0,0,1,1,0,1,1,5.016886638866908,2.0151866419739797,3.487601000232265,4.675549906379018,3.36463137775805,2.0151866419739797
1,1.0,1.0,1.0,Unterstrass,Entire home/apt,Entire rental unit,2,47.38894,8.53848,1,34,22,27,27,27,16,15,3,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,100.0,92.0,1.0,95,4.63,4.69,4.81,4.69,4.69,4.69,4.44,25,370,0,0,1,1,0,0,0,0,0,0,0,1,4.826468347612428,2.8531572250519606,2.4625266551682072,2.6846041025606584,1.235215827885307,1.235215827885307
2,1.0,1.0,1.0,Weinegg,Entire home/apt,Entire rental unit,2,47.36071,8.56013,1,31,21,47,77,162,15,0,0,0.37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,97.0,100.0,1.0,109,4.67,4.73,4.8,4.87,4.67,4.8,4.67,39,483,0,1,0,0,0,0,1,0,0,0,1,0,7.934175519473953,4.75765850257605,5.549112923511303,1.1581714077516434,2.4256510079486513,1.1581714077516434
4,2.0,1.0,2.0,Seebach,Entire home/apt,Entire rental unit,2,47.41443888747434,8.546469770371914,1,40,19,49,79,354,0,0,0,,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,99.0,100.0,1.0,15,,,,,,,,36,372,0,0,0,0,0,1,0,0,0,0,1,1,1.9328393636354257,5.0732990196225956,0.5189580138770491,5.4528780249739155,4.08939388510989,0.5189580138770491
6,1.0,1.0,5.0,Hard,Private room,Private room in rental unit,1,47.38108,8.50729,0,52,1,1,28,28,5,2,0,0.13,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,100.0,50.0,1.0,1,2.6,3.2,2.6,3.6,3.2,3.2,2.6,15,386,0,0,0,1,1,0,0,0,1,0,0,0,6.463175282859897,0.35376489951003287,4.4732406573976755,3.4225174340329203,2.5104971477209763,0.35376489951003287
2,0.0,1.0,1.0,Affoltern,Entire home/apt,Entire serviced apartment,7,47.4188639,8.508064599999999,0,47,27,57,87,87,1,1,0,0.37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,100.0,78.0,3.0,69,5.0,5.0,5.0,4.0,5.0,5.0,5.0,21,248,0,0,1,0,0,0,0,0,0,0,0,0,3.42838283701265,4.402814544506625,3.2053647851047273,6.6082952367483,5.160876332284105,3.2053647851047273
2,1.0,1.0,1.0,Hochschulen,Entire home/apt,Entire rental unit,1,47.3767917599083,8.545047828963106,1,23,6,29,57,237,8,8,1,2.4,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,100.0,100.0,1.0,26,4.13,4.5,3.75,4.63,5.0,4.88,3.88,30,70,0,0,0,0,0,0,0,0,0,0,0,0,6.114704915932902,3.1568144173759434,3.7022562444409273,1.2707921292786197,0.378142703198685,0.378142703198685
3,1.0,1.0,2.0,Enge,Entire home/apt,Entire rental unit,1,47.36061,8.52683,0,26,23,53,83,358,0,0,0,,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,100.0,100.0,1.0,5,,,,,,,,47,463,0,0,1,1,0,0,0,0,1,0,1,1,8.086925428187834,2.7395929880905516,5.7312660906071535,1.5672541574723555,2.1737691838634636,1.5672541574723555
2,1.0,1.0,1.0,Altstetten,Entire home/apt,Entire rental unit,3,47.38405746196106,8.480946686964197,1,26,0,0,0,181,1,1,0,0.16,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,100.0,63.0,1.0,8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,26,132,0,0,0,0,0,0,0,0,0,0,1,0,7.394521767620293,1.7608879968886397,5.852531743097073,5.347549090274513,4.5209958836245665,1.7608879968886397
2,1.0,1.0,1.0,Hochschulen,Entire home/apt,Entire serviced apartment,1,47.37624,8.54533,1,12,0,25,49,312,12,0,0,0.35,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56.0,85.0,1.0,12,4.42,4.58,4.0,4.83,4.92,4.83,4.33,41,106,0,0,0,0,0,0,0,0,0,0,0,0,6.174850925770381,3.1841734007024485,3.762002180191941,1.2080433490666922,0.42133308605329867,0.42133308605329867
4,2.0,1.0,2.0,Seebach,Entire home/apt,Entire rental unit,2,47.4247603,8.5369237,1,28,0,27,57,332,20,20,2,3.21,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,97.0,100.0,1.0,109,4.7,4.95,4.75,4.85,4.75,4.65,4.6,44,500,0,0,1,0,0,0,0,0,1,0,0,1,1.2208476894881934,5.643064479671562,1.8616072656341907,6.638994449425155,5.216820179728193,1.2208476894881934
2,1.0,1.0,2.0,Wipkingen,Entire home/apt,Entire rental unit,30,47.39639268791255,8.519340390241005,0,27,2,2,29,84,0,0,0,,1,1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,95.0,87.0,1.0,98,,,,,,,,43,492,0,0,0,0,0,0,0,0,0,0,0,0,4.534692538546949,2.242412571757346,2.6718139041165454,4.003427823591125,2.5919398334233468,2.242412571757346
2,0.0,1.0,1.0,Seefeld,Entire home/apt,Entire rental unit,2,47.36237,8.5481,1,36,0,0,0,45,2,0,0,0.15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,100.0,95.0,1.0,252,4.5,5.0,4.5,4.5,5.0,5.0,4.5,46,338,0,0,0,0,0,0,1,0,0,0,0,1,7.7098644365342075,3.8688561439846834,5.296348124838998,0.360429411896439,1.8240273612509645,0.360429411896439
