id,price,accommodates,bedrooms,bathrooms,beds,neighbourhood_cleansed,room_type,property_type,minimum_nights,latitude,longitude,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_total_listings_count,instant_bookable,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,n_amenities,amen_wifi,amen_kitchen,amen_hot_water,amen_hair_dryer,amen_bed_linens,amen_hangers,amen_essentials,amen_cooking_basics,amen_refrigerator,amen_dishes_and_silverware,amen_iron,amen_heating,amen_dedicated_workspace,amen_self_check_in,amen_long_term_stays_allowed,amen_oven,amen_shampoo,amen_dishwasher,amen_hot_water_kettle,amen_room_darkening_shades,amen_tv,amen_dining_table,amen_wine_glasses,amen_washer,amen_elevator,amen_lockbox,amen_microwave,amen_freezer,amen_stove,amen_bathtub,text_name_len,text_desc_len,text_luxury,text_view,text_central,text_modern,text_terrace,text_renovated,text_lake,text_river,text_quiet,text_design,text_spacious,text_charming
143821,232.0,2,1.0,1.5,2.0,Alt-Wiedikon,Entire home/apt,Entire loft,3,47.35761,8.52131,29,59,89,269,0,0,0,,0,100.0,,1.0,1,0,,,,,,,,43,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,35,484,0,0,1,0,0,0,0,0,0,0,0,0
178448,48.0,1,1.0,1.0,1.0,Enge,Private room,Private room in rental unit,5,47.36514,8.52615,0,0,0,92,9,0,0,0.05,0,100.0,0.0,1.0,1,0,4.89,4.89,4.89,4.89,4.89,5.0,4.89,11,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,28,115,0,0,1,0,0,0,1,0,1,0,0,0
227039,501.0,3,2.0,1.5,1.0,Escher Wyss,Entire home/apt,Entire loft,4,47.38942,8.51881,0,0,7,280,31,0,0,0.18,0,,,,2,0,4.97,5.0,4.94,4.97,4.94,4.94,4.84,87,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,48,456,1,0,0,1,1,0,0,0,0,1,1,0
283737,160.0,4,2.0,1.0,2.0,Rathaus,Entire home/apt,Entire rental unit,4,47.37372,8.54452,12,12,13,13,383,21,1,2.3,0,100.0,85.0,1.0,3,0,4.48,4.44,4.54,4.71,4.74,4.93,4.42,22,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,31,205,0,0,0,0,0,0,0,0,0,0,0,0
310964,360.0,6,3.0,2.0,2.0,Hochschulen,Entire home/apt,Entire rental unit,7,47.36713,8.54868,0,0,0,28,13,0,0,0.08,0,,,,1,0,4.92,4.92,4.77,5.0,4.92,4.85,4.85,18,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0
577683,238.0,4,1.0,1.5,3.0,Höngg,Entire home/apt,Entire rental unit,5,47.4049,8.49555,12,24,37,232,7,0,0,0.04,0,100.0,0.0,1.0,3,0,5.0,5.0,5.0,5.0,4.86,5.0,4.86,71,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,48,373,0,0,0,1,0,0,0,1,1,0,1,0
610348,227.0,7,4.0,2.0,5.0,Oerlikon,Entire home/apt,Entire rental unit,5,47.40703,8.55232,13,43,58,311,162,15,1,1.02,1,100.0,100.0,1.0,3,0,4.75,4.84,4.88,4.92,4.91,4.79,4.63,53,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,33,222,0,0,1,0,0,0,0,0,1,0,0,1
620130,185.0,4,1.0,1.0,2.0,Wipkingen,Entire home/apt,Entire rental unit,3,47.39278,8.53,22,52,82,357,25,0,0,0.22,0,0.0,0.0,4.0,5,0,4.84,4.92,4.88,5.0,4.92,4.96,4.72,17,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1
706972,134.0,2,1.0,1.0,1.0,Wipkingen,Entire home/apt,Entire rental unit,3,47.39229,8.52951,2,2,2,242,8,0,0,0.07,0,0.0,0.0,4.0,5,0,4.88,4.63,4.88,5.0,4.75,4.88,4.13,18,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0
706997,165.0,4,1.0,1.0,2.0,Wipkingen,Entire home/apt,Entire rental unit,3,47.39364,8.5285,30,60,90,365,12,0,0,0.08,0,0.0,0.0,4.0,5,0,4.0,4.5,4.75,4.8,4.92,4.27,3.91,13,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0
743035,250.0,4,1.0,1.0,4.0,Friesenberg,Entire home/apt,Entire home,2,47.35491,8.48682,8,8,8,159,110,2,0,0.74,0,100.0,75.0,3.0,3,0,4.37,4.37,4.09,4.67,4.69,4.54,4.16,64,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,47,472,0,0,0,0,0,0,0,0,0,0,1,0
815055,99.0,1,1.0,1.5,1.0,Wollishofen,Private room,Private room in rental unit,1,47.3366,8.53388,30,60,90,90,82,0,0,0.54,0,,0.0,,4,0,4.83,4.82,4.91,4.95,4.95,4.76,4.8,15,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0
816887,124.0,2,1.0,1.0,1.0,Wollishofen,Private room,Private room in home,2,47.335713,8.542109,21,41,71,161,43,5,1,0.3,0,100.0,92.0,1.0,3,1,4.53,4.56,4.27,4.59,4.58,4.65,4.49,43,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,32,172,0,0,0,0,0,0,1,0,0,0,1,0
898829,54.0,2,1.0,1.0,1.0,Seebach,Private room,Private room in rental unit,1,47.42659,8.546569,0,0,0,0,347,21,1,2.28,0,100.0,49.0,1.0,1,0,4.94,4.97,4.98,4.95,4.93,4.73,4.92,63,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,42,234,0,0,0,1,0,0,0,0,0,0,1,0
946104,150.0,2,1.0,1.0,1.0,Alt-Wiedikon,Entire home/apt,Entire rental unit,5,47.36516,8.51941,0,0,16,166,327,1,1,2.14,0,100.0,100.0,2.0,1,0,4.73,4.83,4.83,4.87,4.89,4.77,4.73,21,1,1,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,39,249,0,0,1,0,0,0,0,0,0,0,0,1
1028631,418.0,2,1.0,1.0,1.0,Werd,Entire home/apt,Entire loft,4,47.37362,8.5233,19,49,79,259,96,5,1,0.63,0,100.0,100.0,1.0,2,0,4.91,4.93,4.96,4.98,5.0,4.89,4.68,55,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,50,487,0,0,0,1,0,0,0,0,0,1,1,0
1528138,117.0,3,1.0,1.0,4.0,Unterstrass,Entire home/apt,Entire rental unit,3,47.39393,8.53442,0,0,0,151,75,0,0,0.51,0,,,,1,0,4.99,4.93,4.91,4.93,4.96,4.87,4.8,6,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,345,0,0,1,1,0,0,0,0,0,0,0,0
1566319,270.0,2,1.0,1.0,1.0,Weinegg,Entire home/apt,Entire rental unit,5,47.35106,8.56784,23,53,83,173,2,0,0,0.05,0,0.0,,4.0,2,0,4.5,4.0,4.0,5.0,4.5,3.5,3.5,44,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,43,443,0,1,0,0,1,0,1,0,1,0,0,0
1599790,158.0,2,1.0,1.0,1.0,Oerlikon,Private room,Private room in rental unit,1,47.40808,8.55491,30,60,90,365,6,0,0,0.04,0,,,,1,0,5.0,5.0,5.0,5.0,5.0,4.83,4.67,8,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29,247,0,0,0,0,0,0,0,0,0,0,1,0
